time,open,high,low,close,volume,spread,real_volume
2025-09-25 19:40:00,3963.27,3963.53,3946.4,3950.26,1146,295.0,0
2025-09-25 19:45:00,3950.33,3957.41,3928.28,3942.04,1359,295.0,0
2025-09-25 19:50:00,3942.08,3953.16,3937.25,3937.33,1086,295.0,0
2025-09-25 19:55:00,3937.37,3940.47,3926.19,3938.96,1074,295.0,0
2025-09-25 20:00:00,3938.92,3941.52,3924.53,3933.1,1249,295.0,0
2025-09-25 20:05:00,3933.05,3936.47,3916.06,3924.75,1404,295.0,0
2025-09-25 20:10:00,3924.91,3927.16,3897.61,3897.61,1472,295.0,0
2025-09-25 20:15:00,3897.2,3917.62,3894.75,3903.87,1791,295.0,0
2025-09-25 20:20:00,3903.87,3905.82,3871.5,3900.63,1888,295.0,0
2025-09-25 20:25:00,3900.7,3911.18,3897.65,3899.1,1256,295.0,0
2025-09-25 20:30:00,3899.0,3905.04,3877.67,3880.84,1388,295.2,0
2025-09-25 20:35:00,3880.84,3886.69,3857.64,3874.51,1785,295.0,0
2025-09-25 20:40:00,3874.49,3878.33,3861.97,3865.27,1608,295.0,0
2025-09-25 20:45:00,3865.25,3869.74,3850.08,3854.5,1634,295.0,0
2025-09-25 20:50:00,3854.48,3864.84,3847.33,3850.91,1638,295.0,0
2025-09-25 20:55:00,3850.92,3854.77,3822.31,3837.3,1922,295.0,0
2025-09-25 21:00:00,3837.32,3841.96,3822.59,3829.11,1818,295.0,0
2025-09-25 21:05:00,3829.0,3848.08,3824.61,3839.83,1585,295.0,0
2025-09-25 21:10:00,3839.85,3860.65,3824.59,3859.14,1653,295.0,0
2025-09-25 21:15:00,3859.24,3870.43,3846.08,3866.16,1526,295.0,0
2025-09-25 21:20:00,3866.55,3887.8,3863.61,3886.95,1570,295.0,0
2025-09-25 21:25:00,3886.89,3888.58,3877.3,3880.85,1326,295.0,0
2025-09-25 21:30:00,3880.86,3885.21,3869.19,3869.26,1432,295.0,0
2025-09-25 21:35:00,3869.27,3881.24,3868.86,3876.31,1222,295.0,0
2025-09-25 21:40:00,3876.33,3895.36,3876.33,3889.01,1273,295.0,0
2025-09-25 21:45:00,3888.34,3901.8,3878.43,3899.68,1204,295.0,0
2025-09-25 21:50:00,3900.11,3920.27,3896.03,3915.11,1273,295.2,0
2025-09-25 21:55:00,3915.1,3924.02,3912.27,3923.81,1051,295.2,0
2025-09-25 22:00:00,3923.83,3937.68,3922.29,3934.1,1229,295.2,0
2025-09-25 22:05:00,3934.36,3937.42,3925.8,3928.91,1001,295.0,0
2025-09-25 22:10:00,3928.95,3929.52,3921.75,3922.49,848,295.0,0
2025-09-25 22:15:00,3922.58,3930.1,3917.01,3929.87,745,295.6,0
